"depto_cod","departamento","Enero","Febrero","Marzo","Abril","Mayo","Total_Ventas"
"09-43","85,00 3  ***","0","0","0.01","0","0","0.01"
"09-06","195,00 3  ***","0","0","0.01","0","0","0.01"
"09-08","208,00 3  ***","0","0","0.01","0","0","0.01"
"09-08","158,00 3  ***","0.01","0","0","0","0","0.01"
"09-30","20,00 3  ***","0","0","0","0.00","0","0.00"
"09-48","13,00 3  ***","0","0","0","0.00","0","0.00"
"09-48","47,00 3  ***","0.00","0","0.00","0","0","0.00"
"09-42","4,00 3  ***","0.00","0","0","0","0","0.00"
"09-45","22,00 3  ***","0","0","0.00","0","0.00","0.00"
"09-35","2,00 3  ***","0.00","0","0","0","0","0.00"
"09-42","7,00 3  ***","0","0","0","0","0.00","0.00"
"09-59","4,00 3  ***","0","0","0","0","0.00","0.00"
"09-09","10,00 3  ***","0","0","0.00","0","0","0.00"
"09-06","44,00 3  ***","0","0","0","0","0.00","0.00"
"09-34","4,00 3  ***","0","0","0","0","0.00","0.00"
"09-09","1,00 3  ***","0","0","0","0","0.00","0.00"
"09-20","4,00 3  ***","0","0","0","0.00","0","0.00"
"09-65","5,00 3  ***","0.00","0","0","0","0.00","0.00"
"09-45","18,00 3  ***","0","0","0","0.00","0","0.00"
"09-26","6,00 3  ***","0.00","0","0","0","0","0.00"
"09-30","21,00 3  ***","0.00","0","0","0","0","0.00"
"09-09","50,00 3  ***","0.00","0","0","0","0","0.00"
"09-09","6,00 3  ***","0","0","0","0.00","0","0.00"
"09-43","7,00 3  ***","0","0","0","0","0.00","0.00"
"09-01","10,00 3  ***","0","0","0","0.00","0","0.00"
"09-38","12,00 3  ***","0","0","0","0","0.00","0.00"
"09-27","3,00 3  ***","0","0","0.00","0","0","0.00"
"09-27","2,00 3  ***","0","0","0","0","0.00","0.00"
