"depto_cod","departamento","Fair","Burzaco","A.Korn","Tucuman","Total_Global"
"04-62","RATICIDA","0","0","0","26.00","26.00"
"25-69","NUGGETSS","24.00","0","0","0","24.00"
"04-48","BALDES","21.00","0","3.00","0","24.00"
"05-20","ESPEJOS","16.00","5.00","2.00","0","23.00"
"04-35","LAMPAZO","8.00","5.00","0","9.00","22.00"
"09-17","PAVA","19.00","0","0","2.00","21.00"
"03-13","TEMBLEKE/TREMBLYS","20.00","0","0","0","20.00"
"04-54","APRESTO","15.00","2.00","2.00","1.00","20.00"
"09-63","CONTENEDOR","9.00","0","10.00","1.00","20.00"
"16-11","LAP.COLORES","17.00","0","0","2.00","19.00"
"16-23","TIJERAS","11.00","0","0","8.00","19.00"
"15-25","GINN","10.00","1.00","6.00","1.00","18.00"
"15-17","TEQUILA","5.00","10.00","1.00","1.00","17.00"
"07-33","PIOJICIDAS","7.00","3.00","6.00","0","16.00"
"19-13","PALITO BROCHETTE","16.00","0","0","0","16.00"
"20-20","SONAJEROS","2.00","0","10.00","3.00","15.00"
"10-01","PAN DULCE","15.00","0","0","0","15.00"
"07-24","PEINES","5.00","6.00","0","4.00","15.00"
"15-06","RON","9.00","0","6.00","0","15.00"
"10-04","FRUTAS SECAS Y ABRILLANTADAS","0","9.00","6.00","0","15.00"
"05-32","ARTICULOS DE COSTURA","1.00","13.00","0","0","14.00"
"20-01","PELOTAS","6.00","1.00","4.00","3.00","14.00"
"01-62","LASAGNAS","0","0","0","14.00","14.00"
"51-08","CALOVENTORES","6.00","0","0","8.00","14.00"
"09-35","ESPECIEROS","0","0","4.00","10.00","14.00"
"09-64","LONCHERA","3.00","2.00","1.00","8.00","14.00"
"90-16","PANTALONES JEANS","8.00","0","0","5.00","13.00"
"09-47","PANQUEQUERA","10.00","0","3.00","0","13.00"
"16-41","BANDERIN ARGENTINA","12.00","0","0","1.00","13.00"
"20-10","PELUCHES","9.00","0","0","4.00","13.00"
"07-39","PROTECTOR SOLAR","6.00","1.00","4.00","0","11.00"
"05-13","PARCHES DE BICICLETA","10.00","0","0","1.00","11.00"
"90-19","GORRAS/GORROS","1.00","0","0","9.00","10.00"
"20-16","BEYBLADE","0","0","10.00","0","10.00"
"16-21","CORRECTORES","9.00","0","0","1.00","10.00"
"20-12","MU ECOS/ROBOT","4.00","2.00","1.00","1.00","8.00"
"20-24","BANCOS/SILLONES","7.00","0","1.00","0","8.00"
"90-21","PARAGUAS","0","0","6.00","2.00","8.00"
"20-19","DEPORTES","5.00","0","1.00","1.00","7.00"
"20-22","MUSICA","1.00","0","5.00","1.00","7.00"
"51-02","PARLANTES","4.00","0","3.00","0","7.00"
"20-18","COCINA","0","0","6.00","0","6.00"
"02-11","GRANADINA","5.00","1.00","0","0","6.00"
"15-07","GINEBRA","5.00","0","0","1.00","6.00"
"20-08","JUEGOS DE MESA","5.00","0","1.00","0","6.00"
"09-62","CANASTO","3.00","0","2.00","0","5.00"
"16-10","PLASTILINAS","0","0","0","5.00","5.00"
"90-91","BOLSOS/MORRAL","2.00","0","0","3.00","5.00"
"19-03","Bombucha","3.00","0","1.00","0","4.00"
"20-06","JUEGOS DE PLAYA","0","0","4.00","0","4.00"
"16-17","GEOMETRIA","4.00","0","0","0","4.00"
"21-61","MACETAS","4.00","0","0","0","4.00"
"16-24","COMPAS","3.00","0","0","0","3.00"
"16-38","MOCHILAS","1.00","0","1.00","1.00","3.00"
"15-27","PI A COLADA","0","0","3.00","0","3.00"
"16-32","CARTULINA","0","0","0","3.00","3.00"
"09-61","BATIDOR","2.00","0","1.00","0","3.00"
"05-15","HILO","3.00","0","0","0","3.00"
"90-90","COVER","2.00","0","0","1.00","3.00"
"15-18","CO AC","3.00","0","0","0","3.00"
"16-05","SACAPUNTAS","0","0","0","2.00","2.00"
"27-01","ELECTRICIDAD","1.00","0","0","1.00","2.00"
"19-06","PINCHES DE GOMA EVA","2.00","0","0","0","2.00"
"16-45","CALCULADORAS","2.00","0","0","0","2.00"
"07-16","BRONCEADORES","2.00","0","0","0","2.00"
"09-58","VASO","0","0","2.00","0","2.00"
"04-45","LIMPIAVIDRIOS","0","2.00","0","0","2.00"
"03-15","MANTECOL","2.00","0","0","0","2.00"
"04-29","DESTAPA CA ERIAS","1.00","0","0","0","1.00"
"05-24","GOMERA/HONDA","1.00","0","0","0","1.00"
"19-01","SERPENTINAS","0","0","0","1.00","1.00"
"20-11","MONO PATIN","1.00","0","0","0","1.00"
"20-26","JUEGOS DOCTORA","1.00","0","0","0","1.00"
"20-23","LIBROS P/COLOREAR","1.00","0","0","0","1.00"
"20-13","FLOTADORES/SALVAVIDAS","0","0","1.00","0","1.00"
"04-39","ALFOMBRAS","1.00","0","0","0","1.00"
"16-42","BROCHES DE ABROCHADORA","1.00","0","0","0","1.00"
"16-36","REGLA","1.00","0","0","0","1.00"
"51-06","AURICULARES","0","0","0","1.00","1.00"
"09-57","CUCHARA","0","0","0","1.00","1.00"
"19-04","CARTEL PARA FIESTAS","1.00","0","0","0","1.00"
"01-63","FRUTAS","0","0","0.10","0","0.10"
"09-08","310,00 3  ***","0.02","0","0","0","0.02"
"09-38","99,00 3  ***","0.01","0","0","0","0.01"
"09-08","142,00 3  ***","0","0","0","0.01","0.01"
"09-28","132,00 3  ***","0.01","0","0","0","0.01"
"09-06","118,00 3  ***","0.01","0","0","0","0.01"
"09-14","2,00 3  ***","0","0","0","0.00","0.00"
"09-08","17,00 3  ***","0","0","0.00","0","0.00"
"09-27","2,00 3  ***","0","0","0","0.00","0.00"
"09-43","21,00 3  ***","0","0","0.00","0","0.00"
"09-32","3,00 3  ***","0.00","0","0","0","0.00"
"09-30","10,00 3  ***","0","0","0.00","0","0.00"
"09-01","42,00 3  ***","0.00","0","0","0","0.00"
"09-19","4,00 3  ***","0","0","0.00","0","0.00"
"09-29","9,00 3  ***","0.00","0","0","0","0.00"
"09-59","1,00 3  ***","0","0","0.00","0","0.00"
"09-09","1,00 3  ***","0","0","0","0.00","0.00"
"09-59","4,00 3  ***","0.00","0","0","0.00","0.00"
"09-38","6,00 3  ***","0","0","0.00","0","0.00"
"09-31","58,00 3  ***","0.00","0","0","0","0.00"
"09-30","7,00 3  ***","0.00","0","0","0","0.00"
"09-14","23,00 3  ***","0.00","0","0","0","0.00"
"09-42","16,00 3  ***","0.00","0","0","0","0.00"
"09-23","1,00 3  ***","0","0","0.00","0","0.00"
"09-26","3,00 3  ***","0","0","0","0.00","0.00"
"09-38","12,00 3  ***","0","0.00","0","0.00","0.00"
"09-25","1,00 3  ***","0","0.00","0","0.00","0.00"
"09-34","4,00 3  ***","0","0","0","0.00","0.00"
"09-45","11,00 3  ***","0","0","0.00","0","0.00"
"09-50","1,00 3  ***","0.00","0","0","0","0.00"
"09-34","19,00 3  ***","0.00","0","0","0","0.00"
"09-19","28,00 3  ***","0.00","0","0","0","0.00"
"09-41","1,00 3  ***","0","0.00","0","0","0.00"
"09-26","45,00 3  ***","0.00","0","0","0","0.00"
"09-43","7,00 3  ***","0","0.00","0","0.00","0.00"
"09-26","12,00 3  ***","0","0","0.00","0","0.00"
"09-55","1,00 3  ***","0","0","0.00","0","0.00"
"09-14","1,00 3  ***","0","0.00","0","0","0.00"
"09-31","17,00 3  ***","0","0","0.00","0","0.00"
"09-06","64,00 3  ***","0","0","0.00","0","0.00"
"09-09","16,00 3  ***","0.00","0","0","0","0.00"
"09-20","6,00 3  ***","0.00","0.00","0","0","0.00"
"09-19","9,00 3  ***","0","0","0","0.00","0.00"
"09-20","3,00 3  ***","0","0","0","0.00","0.00"
